,Train Loss
0,tensor(3.3139)
1,tensor(1.8024)
2,tensor(2.6429)
3,tensor(2.6074)
4,tensor(2.9560)
5,tensor(1.9095)
6,tensor(2.7578)
7,tensor(2.4097)
8,tensor(2.5496)
9,tensor(2.5392)
10,tensor(3.2712)
11,tensor(1.8789)
12,tensor(3.2331)
13,tensor(3.7427)
14,tensor(2.8245)
15,tensor(2.5729)
16,tensor(1.7137)
17,tensor(3.7808)
18,tensor(3.5023)
19,tensor(2.5904)
20,tensor(2.6679)
21,tensor(3.1046)
22,tensor(2.3427)
23,tensor(2.3646)
24,tensor(3.5776)
25,tensor(3.6742)
26,tensor(2.3993)
27,tensor(3.1563)
28,tensor(2.6467)
29,tensor(3.2249)
30,tensor(3.3963)
31,tensor(3.4902)
32,tensor(3.1835)
33,tensor(3.0061)
34,tensor(2.5814)
35,tensor(2.9065)
36,tensor(2.7014)
37,tensor(2.0084)
38,tensor(2.1362)
39,tensor(2.7743)
40,tensor(2.5447)
41,tensor(3.5358)
42,tensor(3.6063)
43,tensor(3.1786)
44,tensor(2.6681)
45,tensor(3.6084)
46,tensor(2.3269)
47,tensor(2.5504)
48,tensor(2.1806)
49,tensor(2.0246)
50,tensor(3.3191)
51,tensor(2.0449)
52,tensor(2.6150)
53,tensor(2.0336)
54,tensor(2.4867)
55,tensor(2.7823)
56,tensor(4.0850)
57,tensor(4.5735)
58,tensor(1.9254)
59,tensor(4.1765)
60,tensor(2.2529)
61,tensor(2.3915)
62,tensor(3.9291)
63,tensor(2.2098)
64,tensor(3.9236)
65,tensor(4.7712)
66,tensor(2.9784)
67,tensor(3.5451)
68,tensor(2.1302)
69,tensor(2.9347)
70,tensor(3.7052)
71,tensor(2.3910)
72,tensor(2.4340)
73,tensor(2.1576)
74,tensor(2.2158)
75,tensor(2.2078)
76,tensor(2.0117)
77,tensor(2.9860)
78,tensor(4.4392)
79,tensor(2.8257)
80,tensor(1.8003)
81,tensor(4.7974)
82,tensor(4.5072)
83,tensor(3.1834)
84,tensor(3.6520)
85,tensor(2.3573)
86,tensor(2.5767)
87,tensor(3.0187)
88,tensor(1.8405)
89,tensor(3.4542)
90,tensor(2.6886)
91,tensor(3.4783)
92,tensor(3.2607)
93,tensor(2.0536)
94,tensor(2.9395)
95,tensor(3.3311)
96,tensor(2.3414)
97,tensor(2.8411)
98,tensor(3.0744)
99,tensor(2.1341)
100,tensor(2.5501)
101,tensor(2.8605)
102,tensor(3.0408)
103,tensor(3.1139)
104,tensor(2.5706)
105,tensor(2.7182)
106,tensor(3.2833)
107,tensor(3.7112)
108,tensor(3.0303)
109,tensor(4.5021)
110,tensor(5.8075)
111,tensor(2.7661)
112,tensor(2.4430)
113,tensor(2.1684)
114,tensor(2.6455)
115,tensor(2.4821)
116,tensor(4.0407)
117,tensor(3.2395)
118,tensor(1.8479)
119,tensor(2.0789)
120,tensor(1.8902)
121,tensor(1.8753)
122,tensor(3.2599)
123,tensor(3.7337)
124,tensor(2.1396)
125,tensor(2.4027)
126,tensor(3.1675)
127,tensor(2.4774)
128,tensor(5.0539)
129,tensor(3.8455)
130,tensor(3.0509)
131,tensor(3.4955)
132,tensor(2.1432)
133,tensor(2.9007)
134,tensor(4.8541)
135,tensor(2.4415)
136,tensor(3.6906)
137,tensor(2.4105)
138,tensor(4.9863)
139,tensor(3.4643)
140,tensor(2.9274)
141,tensor(2.5456)
142,tensor(2.1409)
143,tensor(4.6848)
144,tensor(2.5048)
145,tensor(4.7416)
